1. Time,2. q_1,3. q_2,4. q_3,5. q_4,6. q_5,7. q_6,8. q_7,9. O_T_EE_11,10. O_T_EE_21,11. O_T_EE_31,12. O_T_EE_41,13. O_T_EE_12,14. O_T_EE_22,15. O_T_EE_32,16. O_T_EE_42,17. O_T_EE_13,18. O_T_EE_23,19. O_T_EE_33,20. O_T_EE_43,21. O_T_EE_14,22. O_T_EE_24,23. O_T_EE_34,24. O_T_EE_44,25. q_1_d,26. q_2_d,27. q_3_d,28. q_4_d,29. q_5_d,30. q_6_d,31. q_7_d,32. dq_1,33. dq_2,34. dq_3,35. dq_4,36. dq_5,37. dq_6,38. dq_7,39. dq_1_d,40. dq_2_d,41. dq_3_d,42. dq_4_d,43. dq_5_d,44. dq_6_d,45. dq_7_d,46. tau_J_1,47. tau_J_2,48. tau_J_3,49. tau_J_4,50. tau_J_5,51. tau_J_6,52. tau_J_7,53. joint_contact_1,54. joint_contact_2,55. joint_contact_3,56. joint_contact_4,57. joint_contact_5,58. joint_contact_6,59. joint_contact_7,60. joint_collision_1,61. joint_collision_2,62. joint_collision_3,63. joint_collision_4,64. joint_collision_5,65. joint_collision_6,66. joint_collision_7,67. cartesian_contact_x,68. cartesian_contact_y,69. cartesian_contact_z,70. cartesian_contact_R,71. cartesian_contact_P,72. cartesian_contact_Y,73. cartesian_collision_x,74. cartesian_collision_y,75. cartesian_collision_z,76. cartesian_collision_R,77. cartesian_collision_P,78. cartesian_collision_Y,79. tau_ext_1,80. tau_ext_2,81. tau_ext_3,82. tau_ext_4,83. tau_ext_5,84. tau_ext_6,85. tau_ext_7,86. O_F_ext_x,87. O_F_ext_y,88. O_F_ext_z,89. O_F_ext_R,90. O_F_ext_P,91. O_F_ext_Y,92. Gripper Width,93. Object Grasped
701.022,0.101392,0.822899,-0.125918,-1.48983,0.0686467,2.30923,0.761158,0.999967,-0.00632589,0.00254672,0,-0.00642591,-0.999113,0.0413942,0,0.00228265,-0.04141,-0.99914,0,0.715185,-0.00552139,0.0815265,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,8.60308e-05,0.000952564,-0.000183106,-0.000919551,-0.000349259,0.000497084,0.00312091,0,0,0,0,0,0,0,0.00977179,-48.0655,-2.00169,20.3538,0.465172,2.20384,0.0297119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0756561,1.39213,-0.0827637,-0.0620756,-0.114983,-0.0350191,0.103112,4.05886,0.052353,-2.40785,-0.229933,2.73066,-0.0644897,0.0082786,1
701.056,0.1014,0.822902,-0.125912,-1.48983,0.0686457,2.30923,0.761155,0.999967,-0.00631063,0.00253925,0,-0.00641034,-0.999113,0.0413909,0,0.00227584,-0.0414066,-0.99914,0,0.715183,-0.00551234,0.0815228,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,0.00115571,-0.00214997,0.000256607,2.5385e-05,-0.000230163,0.000195614,0.00208313,0,0,0,0,0,0,0,-0.0973449,-48.1052,-2.07707,20.3935,0.474327,2.21391,0.0599243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533436,1.27353,-0.0699686,-0.0643825,-0.115686,-0.0416041,0.10311,3.68898,0.0840603,-2.18362,-0.234938,2.48894,-0.0409366,0.0082786,1
701.09,0.101401,0.822907,-0.125915,-1.48984,0.0686457,2.30923,0.761148,0.999967,-0.00630503,0.00252667,0,-0.00640423,-0.999113,0.0413931,0,0.00226348,-0.0414088,-0.99914,0,0.715179,-0.00551342,0.0815168,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,0.000339626,0.00173053,0.00031565,-0.000473888,-0.00020056,-0.000155855,-0.000448377,0,0,0,0,0,0,0,-0.0973449,-48.1806,-2.07707,20.4649,0.474327,2.23406,0.119434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421218,1.12237,-0.0734901,0.0132002,-0.11374,-0.0308896,0.102974,3.63279,0.0994518,-1.95499,-0.237452,2.31847,-0.0306314,0.0082786,1
701.124,0.101385,0.822907,-0.125923,-1.48984,0.0686492,2.30923,0.761154,0.999967,-0.0063349,0.00252462,0,-0.006434,-0.999112,0.0413966,0,0.00226018,-0.0414122,-0.99914,0,0.715178,-0.00553021,0.081516,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,-0.000102003,0.000840441,-1.47147e-05,0.000709311,0.000447453,7.50023e-05,0.00117031,0,0,0,0,0,0,0,0.116888,-48.1806,-1.93028,20.4649,0.446862,2.23406,0.0690795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00266979,1.1483,-0.0310338,0.0319941,-0.119118,-0.027506,0.103252,3.80111,0.156911,-2.01463,-0.248103,2.40184,0.0126539,0.0082786,1
701.158,0.101382,0.822902,-0.125918,-1.48984,0.0686479,2.30923,0.761156,0.999967,-0.00633631,0.00252462,0,-0.0064354,-0.999113,0.0413933,0,0.00226014,-0.041409,-0.99914,0,0.715178,-0.00552926,0.0815181,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,-0.000262641,-0.00137197,0.00154195,-0.000587553,-0.000445783,-0.00122176,0.00229818,0,0,0,0,0,0,0,0.116888,-48.1052,-2.04137,20.5045,0.483483,2.25328,0.0498535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270255,1.12123,-0.0200394,0.067821,-0.123225,-0.0218397,0.102973,3.89699,0.19748,-1.98521,-0.266283,2.40591,0.040417,0.0082786,1
701.192,0.10139,0.822902,-0.12592,-1.48984,0.0686461,2.30923,0.761155,0.999967,-0.0063273,0.00252466,0,-0.0064264,-0.999113,0.0413963,0,0.00226054,-0.041412,-0.99914,0,0.715178,-0.00552508,0.0815182,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,-0.000611754,0.00074157,-0.00068872,-0.00151641,-0.000264724,-0.000645395,0.00133091,0,0,0,0,0,0,0,0.0454774,-48.1052,-2.00169,20.5045,0.474327,2.25328,0.0599243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523025,1.17061,-0.0118133,0.050355,-0.115602,-0.0263146,0.103984,3.95318,0.231553,-2.06042,-0.278371,2.47358,0.0594218,0.0082786,1
701.226,0.101387,0.822904,-0.125922,-1.48984,0.0686488,2.30922,0.761149,0.999967,-0.00632831,0.00252113,0,-0.00642727,-0.999113,0.0413962,0,0.00225697,-0.0414118,-0.99914,0,0.715177,-0.0055286,0.0815164,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,0.000882893,0.000496596,0.000508407,-0.000856003,0.000115094,-0.000625757,-0.000412167,0,0,0,0,0,0,0,0.0454774,-48.1409,-1.96599,20.5045,0.456017,2.26335,0.109363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640613,1.18471,0.0024742,0.0567998,-0.118,-0.0191115,0.101021,4.01157,0.244079,-2.09895,-0.278798,2.50771,0.0724786,0.0082786,1
701.26,0.101382,0.822894,-0.125922,-1.48984,0.0686467,2.30923,0.761154,0.999967,-0.00633618,0.00253563,0,-0.00643573,-0.999112,0.0413966,0,0.00227112,-0.0414123,-0.99914,0,0.715181,-0.00553205,0.0815253,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,-0.00129153,-1.47887e-05,0.000617646,0.000147288,-7.289e-05,7.62016e-05,0.00122877,0,0,0,0,0,0,0,0.156561,-47.9901,-1.96599,20.4649,0.465172,2.25328,0.0690795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684315,1.19899,0.0113965,0.0655611,-0.121186,-0.00926011,0.103778,4.07941,0.254685,-2.14219,-0.282316,2.5449,0.0793625,0.00859774,1
701.294,0.101384,0.822899,-0.125923,-1.48984,0.0686458,2.30922,0.761154,0.999967,-0.00633397,0.00252646,0,-0.00643315,-0.999112,0.0413981,0,0.00226205,-0.0414138,-0.99914,0,0.715178,-0.00553112,0.0815202,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,-0.000955427,0.000379413,0.00120292,8.0814e-05,-4.42031e-05,-0.000130458,0.0013379,0,0,0,0,0,0,0,0.116888,-48.0655,-1.96599,20.5045,0.474327,2.26335,0.0690795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796074,1.21257,0.0248795,0.0877267,-0.117054,0.00121162,0.10127,4.21823,0.2663,-2.19133,-0.278211,2.60556,0.0900137,0.00859774,1
701.328,0.101363,0.822891,-0.125949,-1.48984,0.0686447,2.30922,0.761156,0.999967,-0.00637443,0.00253092,0,-0.0064738,-0.999111,0.0414175,0,0.0022647,-0.0414333,-0.999139,0,0.715179,-0.00556376,0.0815269,1,0.101326,0.82322,-0.125928,-1.48985,0.0686247,2.30923,0.761139,-0.00173906,-0.000821693,-0.00135554,-0.000105222,0.000110722,-0.000307939,0.00221047,0,0,0,0,0,0,0,0.335089,-47.9505,-1.59306,20.5045,0.483483,2.31279,0.0498535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24031,1.24541,0.178025,0.103687,-0.110473,0.0089116,0.0976627,4.34723,0.487034,-2.27288,-0.304727,2.68667,0.254195,0.00869361,1
